Stop shouting.	Deja de gritar.
Tom knew this would happen.	Tom sabía que esto iba a pasar.
They released a new album.	Ellos lanzaron un nuevo álbum.
I'm sure Tom wouldn't want you to catch cold.	Estoy segura de que Tom no querría que te acatarrases.
But for the storm, I would have arrived earlier.	Si no hubiera sido por la tormenta, habría llegado antes.
Thank you very much for all you have done.	Muchas gracias por todo lo que habéis hecho.
I do not feel like drinking beer tonight.	Esta noche no tengo ganas de beber cerveza.
I am from France.	Vengo de Francia.
You should not go alone.	No deberías ir sola.
He killed himself at the age of thirty.	Se suicidó a los treinta años.
I don't care who Tom talks to.	No me importa con quién hable Tom.
I've been cheated again.	He sido engañado de nuevo.
Tom is naked.	Tom anda jiruta.
Tom earned money by playing his guitar on street corners.	Tom se ganaba la vida tocando la guitarra en las esquinas.
If we leave him, he'll bleed to death.	Si lo dejamos, morirá desangrado.
He arched his eyebrows in surprise.	Arqueó las cejas con sorpresa.
I would have liked it if you had come with us.	Me hubiera gustado que hubieses venido con nosotros.
Tom will never forgive you.	Tom nunca te perdonará.
I was surprised at his strong resemblance to his father.	Me sorprendió lo mucho que se parecía a su padre.
I wish I was kidding.	Ojalá estuviera bromeando.
It looks like he'll be coming here next month.	Parece que él vendrá acá el próximo mes.
What age was she when she first drove a car?	¿Cuántos años tenía la primera vez que condujo un coche?
I can't figure out what the writer is trying to say.	No se me ocurre lo que el escritor intenta decir.
It's not even on the map.	Ni siquiera está en el mapa.
It's so kind of you to come to see me off.	Es muy amable de tu parte venir a despedirme.
Was that really worth it?	¿Realmente valió la pena?
What will you wear?	¿Qué llevarás puesto?
Tom doesn't have any cash on hand.	Tom anda sin efectivo a mano.
We will contact you as soon as we know.	Le telefonearemos tan pronto como lo sepamos.
If it had not been for your advice, I could not have succeeded.	De no haber sido por tu consejo, yo no hubiera tenido éxito.
Could I get a closer look at that one?	¿Podría tener una mirada más cerca a eso?
Be fair.	Sé justo.
Remind me later.	Recuérdamelo más tarde.
We'd be safe there.	Allí estaríamos seguros.
I can't tell you how happy I am that you've come to visit us.	No tengo palabras para decirte cuan feliz estoy de que hayas venido a vernos.
In case I am late, you don't have to wait for me.	Si me retrasara, no me esperes.
